Mode,Wnd,nEP,nSamp,SqrError,NrmError,RnSqrErr,RnNrmErr
dm,10,10,48886,0.744047,0.240198,0.983283,0.983123
dm,15,10,48886,0.625238,0.252523,0.984204,0.982493
dm,20,10,48886,0.615289,0.260889,0.984543,0.981779
dm,25,10,48886,0.629727,0.268268,0.98661,0.983704
dm,30,10,48886,0.647873,0.274794,0.986645,0.983027
dm,35,10,48886,0.6624,0.278592,0.986475,0.982361
dm,40,10,48886,0.676295,0.2846,0.988532,0.984905
dm,45,10,48886,0.688445,0.288576,0.988771,0.985477
dm,50,10,48886,0.696296,0.291162,0.988815,0.984742
dm,10,50,48886,2.653727,0.359586,0.955079,0.969278
dm,15,50,48886,2.136145,0.367419,0.964897,0.974148
dm,20,50,48886,1.898333,0.37187,0.970263,0.977608
dm,25,50,48886,1.770605,0.374273,0.972798,0.978854
dm,30,50,48886,1.685465,0.37701,0.974175,0.980184
dm,35,50,48886,1.637941,0.379169,0.975917,0.981203
dm,40,50,48886,1.618092,0.376593,0.976264,0.980084
dm,45,50,48886,1.600697,0.380887,0.977317,0.981695
dm,50,50,48886,1.57026,0.38635,0.979472,0.984718
dm,10,100,48886,4.032353,0.36881,0.857449,0.910576
dm,15,100,48886,3.242639,0.38424,0.893285,0.927485
dm,20,100,48886,2.872146,0.389574,0.910338,0.936557
dm,25,100,48886,2.625848,0.39071,0.920591,0.940918
dm,30,100,48886,2.461487,0.397271,0.928664,0.946576
dm,35,100,48886,2.388034,0.395454,0.93511,0.9495
dm,40,100,48886,2.310473,0.398316,0.943076,0.956583
dm,45,100,48886,2.24697,0.39922,0.945695,0.957628
dm,50,100,48886,2.166453,0.405534,0.953289,0.963818
dbow,10,1,48886,3.3612695272,0.1772879227,0.4260035309,0.6594226656
dbow,10,5,48886,11.6684097417,0.0963921121,0.5310101771,0.7896070217
dbow,10,10,48886,14.5646230866,0.1060634044,0.5632191734,0.8079520705
dbow,10,25,48886,17.9924703517,0.1381195445,0.5980820758,0.8255351783
dbow,15,1,48886,3.9894502357,0.1708104853,0.4343618594,0.660221111
dbow,15,5,48886,11.7240882001,0.1018246128,0.5282050382,0.783861678
dbow,15,10,48886,14.5135175494,0.1102192346,0.5624271244,0.8032830781
dbow,15,25,48886,17.9952920115,0.1426492201,0.5993487701,0.8229815157
dbow,20,1,48886,4.4870101199,0.1695531902,0.4402181653,0.6641400828
dbow,20,5,48886,11.7128410991,0.1047780945,0.5298320092,0.7815061456
dbow,20,10,48886,14.4411305163,0.1145930997,0.5664959519,0.8023190902
dbow,20,25,48886,17.945459669,0.1465985762,0.6006723851,0.8213916421
dbow,25,1,48886,4.861924819,0.172279829,0.4455366552,0.6688247261
dbow,25,5,48886,11.6620610335,0.1094926408,0.5351540442,0.7819396679
dbow,25,10,48886,14.4087876707,0.1177353882,0.5657747046,0.8012281431
dbow,25,25,48886,17.8772204841,0.1491852699,0.6031632583,0.8215018731
dbow,30,1,48886,5.1066813785,0.1737146829,0.4469034025,0.673716939
dbow,30,5,48886,11.6420097774,0.1127856477,0.5372863398,0.7810541002
dbow,30,10,48886,14.3512811329,0.121290695,0.5698965889,0.8013635288
dbow,30,25,48886,17.8133790562,0.1524975105,0.6041593897,0.8209416073
dbow,35,1,48886,5.2935517176,0.175380502,0.4536716147,0.6770507341
dbow,35,5,48886,11.6038182376,0.1149944209,0.5400238015,0.7816598167
dbow,35,10,48886,14.2798753695,0.1242121291,0.5734471285,0.8022269458
dbow,35,25,48886,17.7539691375,0.1561139006,0.6076426142,0.8220998362
dbow,40,1,48886,5.3888537264,0.1772803008,0.454920078,0.6800834552
dbow,40,5,48886,11.5696903172,0.1183751498,0.5420488819,0.7828790674
dbow,40,10,48886,14.2440698725,0.1268168103,0.5746258736,0.8030916935
dbow,40,25,48886,17.7239144036,0.1583120992,0.6092142812,0.8224061241
dbow,45,1,48886,5.4816307107,0.180435678,0.4577426356,0.6823047126
dbow,45,5,48886,11.5496956267,0.1188215062,0.544922831,0.7827335215
dbow,45,10,48886,14.2211759327,0.129207784,0.5777883995,0.8033069579
dbow,45,25,48886,17.7177278272,0.1602001152,0.6104125867,0.8224067425
dbow,50,1,48886,5.5290350925,0.1825498592,0.4579194543,0.6838854702
dbow,50,5,48886,11.5316042225,0.1207073962,0.5471551246,0.7835060541
dbow,50,10,48886,14.1893955277,0.1308070808,0.5782202454,0.8030954066
dbow,50,25,48886,17.7052491639,0.1627273918,0.612827703,0.823463986
